tconst,Revenue,Budget,Production_Company
tt0105616,"$3,560,469",,Miramax
tt0105813,"$9,011,574",,Warner Bros.
tt0106557,"$6,980,986",,Miramax
tt0107756,"$5,409,423",,Sony Pictures Classics
tt0107668,"$2,001,124",,Imperial Entertainment
tt0106950,"$6,739,141","$8,000,000",Miramax
tt0107387,"$8,556,940",,Trimark Pictures
tt0107225,"$1,113,435",,Miramax
tt0106453,"$13,273,595","$30,000,000",Metro-Goldwyn-Mayer (MGM)
tt0105824,"$5,519,569",,TriStar Pictures
tt0105871,"$2,791,515",,Columbia Pictures
tt0106308,"$11,505,925",,Universal Pictures
tt0106332,"$6,439,377",,Miramax
tt0107999,"$608,866",,Miramax
tt0105435,"$105,232,691",,Universal Pictures
tt0105428,"$30,524,763",,Columbia Pictures
tt0105197,"$1,890,247",,Sony Pictures Classics
tt0105046,"$5,471,088",,Metro-Goldwyn-Mayer (MGM)
tt0105078,"$1,659,542",,Universal Pictures
tt0105089,"$309,596",,Empowerment Project
tt0105103,"$4,030,793",,Walt Disney Studios Motion Pictures
tt0105104,"$44,065,653",,Warner Bros.
tt0105107,"$4,814,619",,Miramax
tt0105112,"$178,051,587","$45,000,000",Paramount Pictures
tt0105128,"$17,092,453",,Paramount Pictures
tt0105130,"$4,058,564","$5,000,000",The Samuel Goldwyn Company
tt0105151,"$21,706,101",,New Line Cinema
tt0105156,"$1,829,804",,New Line Cinema
tt0105159,"$2,827,107",,Warner Bros.
tt0105165,"$22,697,691",,Twentieth Century Fox
tt0105017,"$2,280,148",,Walt Disney Studios Motion Pictures
tt0105001,"$6,202,756",,Twentieth Century Fox
tt0104802,"$6,742,168",,Warner Bros.
tt0104815,"$2,040,920",,Columbia Pictures
tt0104839,"$45,500,797","$40,000,000",Walt Disney Studios Motion Pictures
tt0104850,"$14,358,033",,Warner Bros.
tt0104868,"$50,752,337","$10,000,000",Walt Disney Studios Motion Pictures
tt0104892,"$1,102,469",,Rainbow Releasing
tt0104926,"$20,883,046",,Universal Pictures
tt0104928,"$13,351,357",,Columbia Pictures
tt0105417,"$231,605,150",,Walt Disney Studios Motion Pictures
tt0104940,"$33,274,029","$12,000,000",Walt Disney Studios Motion Pictures
tt0104952,"$64,088,552",,Twentieth Century Fox
tt0104990,"$2,819,485","$15,000,000",Walt Disney Studios Motion Pictures
tt0105191,"$15,164,458",,Warner Bros.
tt0105377,"$1,434,174",,Triumph Releasing Corporation
tt0105414,"$48,017,402",,Columbia Pictures
tt0105327,"$14,715,067",,Paramount Pictures
tt0105275,"$175,340",,Academy Entertainment
tt0105265,"$43,440,294",,Columbia Pictures
tt0105411,"$143,010",,Fine Line Features
tt0105323,"$134,095,253",,Universal Pictures
tt0105402,"$17,180,393",,Triumph Releasing Corporation
tt0105415,"$18,471,850",,Warner Bros.
tt0105211,"$4,651,977",,Columbia Pictures
tt0105217,"$37,170,057",,Universal Pictures
tt0105391,"$43,838,238",,Twentieth Century Fox
tt0105219,"$14,356,479",,Twentieth Century Fox
tt0105399,"$8,359,717","$10,000,000",Miramax
tt0105236,"$2,913,644","$1,200,000",Miramax
tt0102555,"$14,789,113",,Metro-Goldwyn-Mayer (MGM)
tt0102558,"$8,479,793","$40,000,000",Warner Bros.
tt0102536,"$2,113,387",,Fine Line Features
tt0102492,"$59,489,799","$17,000,000",Columbia Pictures
tt0102526,"$47,624,353","$8,000,000",Warner Bros.
tt0102517,"$26,255,594",,Paramount Pictures
tt0102511,"$2,641,357",,Twentieth Century Fox
tt0102510,"$86,930,411","$23,000,000",Paramount Pictures
tt0102494,"$6,401,336",,Fine Line Features
tt0102469,"$18,784,957",,Columbia Pictures
tt0102460,"$20,246,790",,Universal Pictures
tt0102456,"$7,332,515",,The Samuel Goldwyn Company
tt0102691,"$582,510",,Miramax
tt0102753,"$6,266,621","$7,500,000",New Line Cinema
tt0102749,"$10,438,504",,Miramax
tt0102729,"$24,941,969",,Universal Pictures
tt0105378,"$2,735,731","$14,000,000",Orion Pictures
tt0102722,"$1,750,301",,Miramax
tt0101912,"$22,773,535",,Paramount Pictures
tt0102721,"$524,668",,Fine Line Features
tt0102719,"$32,704,700",,Universal Pictures
tt0104922,"$10,535",,Two Moon Releasing
tt0102713,"$74,787,599",,Columbia Pictures
tt0102690,"$4,205,000",,Studio Thre
tt0102687,"$787,280",,Zeitgeist Films
tt0102685,"$83,531,958",,Twentieth Century Fox
tt0102655,"$14,061,361",,Paramount Pictures
tt0102631,"$18,634,643",,Walt Disney Studios Motion Pictures
tt0102614,"$39,673,161","$14,000,000",Warner Bros.
tt0102609,"$25,682,090",,Warner Bros.
tt0102603,"$23,562,716",,Walt Disney Studios Motion Pictures
tt0102598,"$25,092,802",,Twentieth Century Fox
tt0102592,"$1,543,112",,IRS Media
tt0102590,"$14,851,083",,Universal Pictures
tt0102388,"$2,853,801",,Metro-Goldwyn-Mayer (MGM)
tt0102426,"$4,532,791",,Miramax
tt0102164,"$626,057",,New Line Cinema
tt0102138,"$205,405,498",,Warner Bros.
tt0102116,"$191,125",,Metro-Goldwyn-Mayer (MGM)
tt0102103,"$4,076,211",,Hemdale
tt0102095,"$7,788,597",,Warner Bros.
tt0104057,"$1,689,723",,Kino International
tt0101921,"$119,418,501",,Universal Pictures
tt0102070,"$17,218,080","$65,000,000",TriStar Pictures
tt0102065,"$19,438,638","$5,000,000",New Line Cinema
tt0102059,"$181,096,164","$26,000,000",Twentieth Century Fox
tt0102057,"$300,854,823","$70,000,000",TriStar Pictures
tt0102422,"$456,127",,Shapiro-Glickenhaus Entertainmen
tt0102048,"$2,971,661",,Triumph Releasing Corporation
tt0102034,"$15,556,340",,Intersta
tt0102015,"$1,318,449",,Triton Pictures
tt0102011,"$9,804,775",,Paramount Pictures
tt0102005,"$7,434,726","$23,000,000",Metro-Goldwyn-Mayer (MGM)
tt0102004,"$65,595,485",,Universal Pictures
tt0101998,"$532,933",,New Line Cinema
tt0102175,"$43,882,682","$14,000,000",Universal Pictures
tt0102178,"$3,106,559",,Paramount Pictures
tt0102181,"$1,059,071",,Miramax
tt0102202,"$1,250,712",,Trimark Pictures
tt0102411,"$12,454,768","$26,000,000",Walt Disney Studios Motion Pictures
tt0102395,"$3,752,428","$13,000,000",Twentieth Century Fox
tt0102370,"$29,012,935","$4,500,000",Miramax
tt0102316,"$25,010,896",,Orion Pictures
tt0102303,"$4,102,526","$13,000,000",Metro-Goldwyn-Mayer (MGM)
tt0102266,"$59,509,925",,Warner Bros.
tt0102250,"$28,862,081",,TriStar Pictures
tt0102216,"$52,487,045",,Universal Pictures
tt0101902,"$23,202,444","$40,000,000",Twentieth Century Fox
tt0102757,"$1,277,404",,Fine Line Features
tt0102817,"$15,675",,IRS Media
tt0102768,"$43,001,500",,Paramount Pictures
tt0103253,"$1,008,404",,Trimark Pictures
tt0103312,"$225,664",,Miramax
tt0103262,"$7,294,835",,Walt Disney Studios Motion Pictures
tt0103247,"$34,793,160","$14,000,000",Walt Disney Studios Motion Pictures
tt0103157,"$1,159,578",,Concorde Pictures
tt0103243,"$1,403,033",,Fine Line Features
tt0103241,"$63,707,829",,Walt Disney Studios Motion Pictures
tt0103190,"$193,718",,Sony Pictures Classics
tt0107875,"$2,105,078",,Hemdale
tt0103184,"$11,128,309",,Walt Disney Studios Motion Pictures
tt0103176,"$377,832",,Miramax
tt0101862,"$89,325,780",,Walt Disney Studios Motion Pictures
tt0101846,"$21,082,165",,Orion Pictures
tt0103882,"$2,279,692",,Triton Pictures
tt0101889,"$41,895,491",,TriStar Pictures
